,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME,MA,MA2
164,A01,ST0002,201432,134564,145540.4,145540.4
165,A01,ST0002,201433,150105,148654.8,148654.8
166,A01,ST0002,201434,168303,162509.6,162509.6
167,A01,ST0002,201435,149570,174618.0,174618.0
168,A01,ST0002,201436,210006,171171.0,171171.0
169,A01,ST0002,201437,195106,163508.8,163508.8
170,A01,ST0002,201438,132870,161520.6,161520.6
171,A01,ST0002,201439,129992,145063.4,145063.4
172,A01,ST0002,201440,139629,133354.0,133354.0
173,A01,ST0002,201441,127720,131608.4,131608.4
174,A01,ST0002,201442,136559,132308.6,132308.6
175,A01,ST0002,201443,124142,135389.2,135389.2
176,A01,ST0002,201444,133493,146693.6,146693.6
177,A01,ST0002,201445,155032,195049.6,195049.6
178,A01,ST0002,201446,184242,450289.0,450289.0
179,A01,ST0002,201447,378339,557532.6,557532.6
180,A01,ST0002,201448,1400339,585442.0,585442.0
181,A01,ST0002,201449,669711,619847.8,619847.8
182,A01,ST0002,201450,294579,628673.6,628673.6
183,A01,ST0002,201451,356271,395110.4,395110.4
184,A01,ST0002,201452,422468,292314.0,292314.0
185,A01,ST0002,201453,232523,258173.2,258173.2
186,A01,ST0002,201501,155729,209867.8,209867.8
187,A01,ST0002,201502,123875,152806.6,152806.6
188,A01,ST0002,201503,114744,142405.2,142405.2
189,A01,ST0002,201504,137162,139114.8,139114.8
190,A01,ST0002,201505,180516,143635.0,143635.0
191,A01,ST0002,201506,139277,152040.6,152040.6
192,A01,ST0002,201507,146476,152972.8,152972.8
193,A01,ST0002,201508,156772,147500.0,147500.0
194,A01,ST0002,201509,141823,148746.4,148746.4
195,A01,ST0002,201510,153152,149801.2,149801.2
196,A01,ST0002,201511,145509,146506.2,146506.2
197,A01,ST0002,201512,151750,145639.2,145639.2
198,A01,ST0002,201513,140297,140808.6,140808.6
199,A01,ST0002,201514,137488,139769.4,139769.4
200,A01,ST0002,201515,128999,134852.0,134852.0
201,A01,ST0002,201516,140313,133686.0,133686.0
202,A01,ST0002,201517,127163,131922.0,131922.0
